,date,id,link,retweet,text,author
0,Oct 2,782694393216110592,/KimKardashian/status/782694393216110592,False,Hey guys! Meet my #KimKardashianGame character at the So Chic Boutique in Downtown LA for a surprise ;)pic.twitter.com/7fNjRJyDbT,KimKardashian
1,Oct 2,782632831780618240,/KimKardashian/status/782632831780618240,False,This guy is always in my shot!pic.twitter.com/7LC6ewaYPO,KimKardashian
2,Oct 2,782559825205071872,/KimKardashian/status/782559825205071872,False,Balenciaga. No make up today.pic.twitter.com/l2WknhHoiy,KimKardashian
3,Oct 1,782260907900567552,/KimKardashian/status/782260907900567552,False,Kourtney and Kim Take Parispic.twitter.com/VXw2P2GTvU,KimKardashian
4,Oct 1,782259209459101696,/KimKardashian/status/782259209459101697,False,GIVENCHY COUTUREpic.twitter.com/jHxTIuHzzo,KimKardashian
5,Oct 2,782535762554290176,/KimKardashian/status/782535762554290176,False,The Yeezy Show Room in Paris is heaven.,KimKardashian
6,Oct 2,782495814472044544,/KimKardashian/status/782495814472044544,False,Think I'm gonna wear no make up today to the Balenciaga show.,KimKardashian
7,Oct 1,782373703732592640,/KimKardashian/status/782373703732592640,False,Just finished the Amanda Knox doc. I don't think they did it. I really want a Natalie Halloway doc & they need to solve that crime. So sad!,KimKardashian
8,Oct 1,782162692882702336,/KimKardashian/status/782162692882702336,False,Paris Squadpic.twitter.com/AC6BtjEcmT,KimKardashian
9,Sep 30,781973454656507904,/KimKardashian/status/781973454656507904,False,Came home early from the fashion festivities to watch the Netflix Amanda Knox doc. Cannot wait to see this! Anyone see it yet? Thoughts?,KimKardashian
10,Sep 30,781861302486654976,/KimKardashian/status/781861302486654976,False,Hair flip & eye roll at the same damn time!pic.twitter.com/3RgYR9Fn2v,KimKardashian
11,Sep 29,781587399331737600,/KimKardashian/status/781587399331737600,False,Sister Slaypic.twitter.com/Dy8FAt9qmQ,KimKardashian
12,Sep 29,781512464466866176,/KimKardashian/status/781512464466866176,False,On the way to Balmainpic.twitter.com/veZI9vvLXp,KimKardashian
